"identifiant","Prénom","Nom","Région","Département","Numéro de circonscription","Profession","Groupe politique (complet)","Groupe politique (abrégé)"
"795998","Émeline","K/Bidi","Réunion","Réunion","4","Avocate","Gauche Démocrate et Républicaine","GDR"
"796106","Édouard","Bénard","Normandie","Seine-Maritime","3","Collaborateur d'élu","Gauche Démocrate et Républicaine","GDR"
"719412","Sandrine","Le Feur","Bretagne","Finistère","4","Agriculteur-propriétaire exploitant","Ensemble pour la République","EPR"
"841553","Thierry","Tesson","Hauts-de-France","Nord","17","(74) - Ancien cadre","Rassemblement National","RN"
"794946","Antoine","Villedieu","Bourgogne-Franche-Comté","Haute-Saône","1","Policier","Rassemblement National","RN"
"794234","François","Gernigon","Pays de la Loire","Maine-et-Loire","1","Ancien cadre","Horizons & Indépendants","HOR"
"842147","Christophe","Mongardien","Ile-de-France","Hauts-de-Seine","13","Ingénieur - Responsable Support Technique Grands Comptes","Ensemble pour la République","EPR"
"610002","Eva","Sas","Ile-de-France","Paris","8","Cadre supérieur du secteur privé","Écologiste et Social","EcoS"
"796118","Bénédicte","Auzanot","Provence-Alpes-Côte d'Azur","Vaucluse","2","(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r","Rassemblement National","RN"
"841713","Boris","Tavernier","Auvergne-Rhône-Alpes","Rhône","2","(37) - Cadre administratif et commercial d'entreprise","Écologiste et Social","EcoS"
"840903","Paul","Christophle","Auvergne-Rhône-Alpes","Drôme","1","(37) - Cadre administratif et commercial d'entreprise","Socialistes et apparentés","SOC"
"722336","Vincent","Thiébaut","Grand Est","Bas-Rhin","9","Autre cadre (secteur privé)","Horizons & Indépendants","HOR"
"842271","Emmanuel","Maurel","Ile-de-France","Val-d'Oise","3","(34) - Professeur, profession scientifique","Gauche Démocrate et Républicaine","GDR"
"840075","Eddy","Casterman","Hauts-de-France","Aisne","3","(37) - Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"841075","Sylvie","Josserand","Occitanie","Gard","6","(31) - Profession libérale","Rassemblement National","RN"
"841605","Antoine","Golliot","Hauts-de-France","Pas-de-Calais","5","(47) - Technicien","Rassemblement National","RN"
"677483","Stéphane","Mazars","Occitanie","Aveyron","1","Avocat","Ensemble pour la République","EPR"
"842187","Gabrielle","Cathala","Ile-de-France","Val-d'Oise","6","Secrétaire générale de groupe parlementaire","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"721410","Émilie","Bonnivard","Auvergne-Rhône-Alpes","Savoie","3","Cadre à la Caisse des Dépôts et Consignations","Droite Républicaine","DR"
"330909","Vincent","Descoeur","Auvergne-Rhône-Alpes","Cantal","1","Professeur agrégé de biologie","Droite Républicaine","DR"
"796062","Thomas","Portes","Ile-de-France","Seine-Saint-Denis","3","Cheminot","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"841351","Emmanuel","Duplessy","Centre-Val de Loire","Loiret","2","(33) - Cadre de la fonction publique","Écologiste et Social","EcoS"
"793520","Mickaël","Cosson","Bretagne","Côtes-d'Armor","1","Chargé d'opérations urbanisme","Les Démocrates","Dem"
"607553","Dominique","Potier","Grand Est","Meurthe-et-Moselle","5","Agriculteur","Socialistes et apparentés","SOC"
"793094","Nicolas","Ray","Auvergne-Rhône-Alpes","Allier","3","Inspecteur principal des Finances publiques","Droite Républicaine","DR"
"840135","Alexandre","Dufosset","Hauts-de-France","Nord","18","(54) - Employé administratif d'entreprise","Rassemblement National","RN"
"794786","Emmanuel","Fernandes","Grand Est","Bas-Rhin","2","Profession intermédiaire administrative et commerciale des entreprises","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"1654","François","Hollande","Nouvelle-Aquitaine","Corrèze","1","Conseiller référendaire à la Cour des comptes","Socialistes et apparentés","SOC"
"793928","Edwige","Diaz","Nouvelle-Aquitaine","Gironde","11","Cadre administratif et commercial d'entreprise","Rassemblement National","RN"
"719632","Sophie","Panonacle","Nouvelle-Aquitaine","Gironde","8","Sans profession déclarée","Ensemble pour la République","EPR"
"840809","Gérault","Verny","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","14","(23) - Chef d'entreprise de 10 salariés ou plus","UDR","UDR"
"796010","Frédéric","Maillot","Réunion","Réunion","6","Intervenant social","Gauche Démocrate et Républicaine","GDR"
"841563","Claire","Marais-Beuil","Hauts-de-France","Oise","1","Profession libérale","Rassemblement National","RN"
"266793","Jean-Yves","Bony","Auvergne-Rhône-Alpes","Cantal","2","Exploitant agricole","Droite Républicaine","DR"
"841013","Isabelle","Mesnard","Centre-Val de Loire","Eure-et-Loir","1","Sans profession déclarée","Horizons & Indépendants","HOR"
"794278","Xavier","Albertini","Grand Est","Marne","1","Profession libérale","Horizons & Indépendants","HOR"
"841801","Danièle","Carteron","Auvergne-Rhône-Alpes","Haute-Savoie","2","Cheffe d'entreprise","Ensemble pour la République","EPR"
"267200","Sébastien","Huyghe","Hauts-de-France","Nord","5","Notaire","Ensemble pour la République","EPR"
"330008","Xavier","Breton","Auvergne-Rhône-Alpes","Ain","1","Cadre territorial","Droite Républicaine","DR"
"842117","Vincent","Jeanbrun","Ile-de-France","Val-de-Marne","7","(33) - Cadre de la fonction publique","Droite Républicaine","DR"
"607090","Jean-Pierre","Vigier","Auvergne-Rhône-Alpes","Haute-Loire","2","Fonctionnaire de catégorie A","Droite Républicaine","DR"
"721336","Blandine","Brocard","Auvergne-Rhône-Alpes","Rhône","5","Employée (secteur privé)","Les Démocrates","Dem"
"794598","Laurent","Jacobelli","Grand Est","Moselle","8","Profession de l'information, des arts et des spectacles","Rassemblement National","RN"
"795422","Damien","Maudet","Nouvelle-Aquitaine","Haute-Vienne","1","Cadre administratif et commercial d'entreprise","La France insoumise - Nouveau Front Populaire","LFI-NFP"
"719922","Lionel","Causse","Nouvelle-Aquitaine","Landes","2","Autre cadre (secteur privé)","Ensemble pour la République","EPR"
"721110","Nicole","Sanquer","Polynésie française","Polynésie Française","2","Professeur du secondaire et technique","Libertés, Indépendants, Outre-mer et Territoires","LIOT"
