nom_collab,prenom_collab,nom_parlementaire,prenom_parlementaire,id_parlementaire
Rojo,Florian,Fayssat,Olivier,PA840773
Roland,Damien,Fayssat,Olivier,PA840773
Rioult,Olivier,Fayssat,Olivier,PA840773
Debiane,Rahym,Fayssat,Olivier,PA840773
Jacquemin,Hager,Diaz,Edwige,PA793928
DUMAS,Christine,Diaz,Edwige,PA793928
MAILLOT,Esteban,Diaz,Edwige,PA793928
Vives Carceller,Jordi,Diaz,Edwige,PA793928
Naveys-Dumas,Clémence,Diaz,Edwige,PA793928
Lajunie,Dorian,Josserand,Sylvie,PA841075
Rey,Pierre,Josserand,Sylvie,PA841075
Arnoux,Cassandre,Josserand,Sylvie,PA841075
ZLAYJI,Adonis,Chaix,Bernard,PA840701
Giordan,Sabine,Chaix,Bernard,PA840701
Georget,David,Gernigon,François,PA794234
Vaugoyeau,Baptiste,Gernigon,François,PA794234
Smadja,Alexandre,Gernigon,François,PA794234
Lefrançois,Lara,Marleix,Olivier,PA606098
Chakkar,Mounir,Marleix,Olivier,PA606098
Calmels,Isabelle,Marleix,Olivier,PA606098
Coignus,Quentin,Allemand,Marie-José,PA840665
CROIZAT,Sophie,Allemand,Marie-José,PA840665
Cordier,Elie,Allemand,Marie-José,PA840665
Mikaélian,Lucas,Allemand,Marie-José,PA840665
Reiatua,Mary Anna,Frébault,Moerani,PA840235
Dellong,Quentin,Frébault,Moerani,PA840235
Nhun Fat,Thierry,Frébault,Moerani,PA840235
Gonzalez,Cécile,Chudeau,Roger,PA794198
Gaume,Etienne,Chudeau,Roger,PA794198
Donadini,Romain,Chudeau,Roger,PA794198
Gaubert,Elise,Prud'homme,Loïc,PA719578
Hémond,Lucie,Prud'homme,Loïc,PA719578
Joussiaume,Rémi,Prud'homme,Loïc,PA719578
Gharbi,Mustapha,Kerbrat,Andy,PA794130
Gautier,Merlin,Kerbrat,Andy,PA794130
Blanloeil,Tim,Kerbrat,Andy,PA794130
Boutigny,Thomas,Kerbrat,Andy,PA794130
MILAN-HOMOLLE,Marie,Cordier,Pierre,PA718850
Parizot,Juliette,Cordier,Pierre,PA718850
Leonard,Alexia,Cordier,Pierre,PA718850
Mellies,Antoine,Monnier,Thibaut,PA840915
LA SELVE,François,Monnier,Thibaut,PA840915
Besnard,Romain,Monnier,Thibaut,PA840915
Danen,Matthieu,Monnier,Thibaut,PA840915
Kaba,Yaye,Croizier,Laurent,PA793716
Farrero,Mathieu,Croizier,Laurent,PA793716
Ramos,Dorine,Croizier,Laurent,PA793716
Ribardière,Astrid,Bouloux,Mickaël,PA794094
Nivole,Audrey,Bouloux,Mickaël,PA794094
Smola,Lucie,Bouloux,Mickaël,PA794094
Rahou,Kévin,Gonzalez,José,PA793362
Simond,Stéphane,Gonzalez,José,PA793362
Gabelica,Martina,Gonzalez,José,PA793362
Pasquier,Amandine,Caure,Vincent,PA842311
Courtois,Coline,Caure,Vincent,PA842311
Cazenave,Abel,Morel,Louise,PA794810
Salifou Panga,Djamila,Morel,Louise,PA794810
Burger,Clara,Morel,Louise,PA794810
Beaulaton,Louis,Leboucher,Élise,PA795108
Persyn,Salomé,Leboucher,Élise,PA795108
Brillant Leguennec,Maël,Leboucher,Élise,PA795108
Duret,Hugo,Leboucher,Élise,PA795108
Gayet,Stéphanie,Hamelet,Marine,PA795900
LALANE,Hugo,Hamelet,Marine,PA795900
RODRIGUES MARTINS,Fabio,Hamelet,Marine,PA795900
Pougnard,Raphaël,Iordanoff,Jérémie,PA794022
Noirclere,Lou,Iordanoff,Jérémie,PA794022
Boda,Jean-Sébastien,Iordanoff,Jérémie,PA794022
Fornaro,Emma,Gokel,Julien,PA841539
Balezeau,Baptiste,Gokel,Julien,PA841539
Van den Steen,Marie,Gokel,Julien,PA841539
Maillet-Praud,Doriann,Gokel,Julien,PA841539
Brach,Pryscillia,Levavasseur,Katiana,PA793608
Durosau,Sandra,Levavasseur,Katiana,PA793608
Messaï de Boissard,Kilien,Cazeneuve,Pierre,PA795864
de Bragelongne d'Estinville,Valentine,Cazeneuve,Pierre,PA795864
Guillet,Emilie,Cazeneuve,Pierre,PA795864
BOT,Maxime,Rancoule,Julien,PA793254
VILCHEZ,Pauline,Rancoule,Julien,PA793254
STRUB,Thierry,Rancoule,Julien,PA793254
Gahinet,Julie,Rancoule,Julien,PA793254
Garcia,Théo,Rousseau,Sandrine,PA795076
Fourniguet,Alexandra,Rousseau,Sandrine,PA795076
Bikouloulou,Annah,Rousseau,Sandrine,PA795076
Kirchner,Lucie,Lachaud,Bastien,PA720846
Gallo,David,Lachaud,Bastien,PA720846
Mesnard,Maximilien,Lachaud,Bastien,PA720846
Mathon,Alban,Lachaud,Bastien,PA720846
Armand,Sandrine,Lingemann,Delphine,PA794702
Gallay,Romane,Lingemann,Delphine,PA794702
Torres,Hugo,Lingemann,Delphine,PA794702
POIGNET,Sandrine,Rolland,Vincent,PA266808
PETRALIA,Cécile,Rolland,Vincent,PA266808
VIBERT,Séverine,Rolland,Vincent,PA266808
Ceugniet,Pierre,Rolland,Vincent,PA266808
Mauvais,Hermann,Dragon,Nicolas,PA793146
Georgeon,Maryline,Dragon,Nicolas,PA793146
Olivier,Nicolas,Dragon,Nicolas,PA793146
FAGOT,Corentin,Parmentier,Caroline,PA794670
Eraldi,Raphaël,Parmentier,Caroline,PA794670
Bettinger-Aucagos,Caroline,Parmentier,Caroline,PA794670
VALENTIN,Daniel,Viry,Stéphane,PA721474
Couton,Hugo,Viry,Stéphane,PA721474
Pierson,Delphine,Viry,Stéphane,PA721474
Marchand,Nathalie,Viry,Stéphane,PA721474
Perchellet,Sophie,Portes,Thomas,PA796062
Nouioua,Aziza,Portes,Thomas,PA796062
Thiam,Khady,Portes,Thomas,PA796062
Frydman,Léa,Portes,Thomas,PA796062
Valloir,Leslie,Caroit,Eléonore,PA795330
Selvadasse,Nadège,Caroit,Eléonore,PA795330
Escobar-Cameleyre,Zoé,Caroit,Eléonore,PA795330
Bennouara,Estelle,Fiévet,Jean-Marie,PA722134
Camilleri,Carla,Fiévet,Jean-Marie,PA722134
RATAUD,Clara,Fiévet,Jean-Marie,PA722134
MASSARD,Ludovic,Dutremble,Aurélien,PA841761
BAROIN,Sandrine,Dutremble,Aurélien,PA841761
Clerc,Etienne,Dutremble,Aurélien,PA841761
Le Duault,Philippe,Roussel,Fabrice,PA841327
Jamette,Capucine,Roussel,Fabrice,PA841327
Flamand,Axelle,Roussel,Fabrice,PA841327
Roux,Wilson,Ballard,Philippe,PA794562
Lescalle,Isabelle,Ballard,Philippe,PA794562
Guillemin,Grégoire,Ballard,Philippe,PA794562
COSTA,Stéphanie,Falorni,Olivier,PA605694
ARZALIER,Sebastien,Falorni,Olivier,PA605694
MILHIET,Frédéric,Falorni,Olivier,PA605694
David,Maxime,Fesneau,Marc,PA719938
Desjonquères,Mathilde,Fesneau,Marc,PA719938
Loiselet,Marie-Béatrice,Fesneau,Marc,PA719938
Labeau,Stéphanie,Fesneau,Marc,PA719938
Nayl,Christophe,Molac,Paul,PA607619
Dano,Maëva,Molac,Paul,PA607619
Gallou,Victor,Molac,Paul,PA607619
Joassard,Julien,Courbon,Pierrick,PA841295
Riffard,Laëtitia,Courbon,Pierrick,PA841295
BODENNEC,Margot,Courbon,Pierrick,PA841295
CORDIER,Gui,Courbon,Pierrick,PA841295
Dumestre,Isabelle,Courbon,Pierrick,PA841295
Vignal,Maryll,Vignon,Corinne,PA719512
Gornik,Arsène,Vignon,Corinne,PA719512
BAESSA CARIOT,Brice,Vignon,Corinne,PA719512
Roussange-Chaillou,Anaïs,Vigier,Jean-Pierre,PA607090
Treille,Aurore,Vigier,Jean-Pierre,PA607090
Dioudonnat,Nelly,Vigier,Jean-Pierre,PA607090
Bouchez,Florent,Vigier,Jean-Pierre,PA607090
Marteau,Marie,Lottiaux,Philippe,PA795974
Chomard,Victor,Lottiaux,Philippe,PA795974
Groseil,Matthieu,Lahais,Tristan,PA841223
Hériaud,Mathilde,Lahais,Tristan,PA841223
Morel,Clémence,Lahais,Tristan,PA841223
Thomas,David,Lahais,Tristan,PA841223
Soulez,Pierre,Serva,Olivier,PA720960
SERVA,Sandrine,Serva,Olivier,PA720960
Bergena,Lovely,Serva,Olivier,PA720960
PHAETON,Edwin,Serva,Olivier,PA720960
ROLAND,Damien,Verny,Gérault,PA840809
Hébert,Jérôme,Le Gac,Didier,PA719404
Rault-Barbier,Nolwenn,Le Gac,Didier,PA719404
Binois,Julie,Le Gac,Didier,PA719404
LE LEZ,Klervi,Le Gac,Didier,PA719404
MISSUD,Mariel,Pradié,Aurélien,PA720100
Dekker,Alice,Pradié,Aurélien,PA720100
Oberdorff,Agnès,Pradié,Aurélien,PA720100
Verkaeren,Laura,Pradié,Aurélien,PA720100
Dupiech,Nicolas,Pradié,Aurélien,PA720100
BECKLEY,Alexandra,Nosbé,Sandrine,PA841191
Chorda,Alexine,Nosbé,Sandrine,PA841191
Castillo,Bastien,Nosbé,Sandrine,PA841191
Petrolesi,Victoria,Labaronne,Daniel,PA719798
Clauss,Anne-Audrey,Labaronne,Daniel,PA719798
Castoldi-Robert,Léo,Labaronne,Daniel,PA719798
de Gerando,Julien,Terlier,Jean,PA721584
Lacan,Marie,Terlier,Jean,PA721584
Andreu,Bernard,Terlier,Jean,PA721584
Ould-Amer,Nadia,Terlier,Jean,PA721584
Rouanet-Astruc,Géraldine,Terlier,Jean,PA721584
Durand,Catherine,Terlier,Jean,PA721584
Duran,David,Tonussi,Romain,PA840781
Santana,Killian,Tonussi,Romain,PA840781
Dias--Seghi,Eléna,Tonussi,Romain,PA840781
Meurier,Anne-Lise,Garin,Marie-Charlotte,PA795010
Dagbert,Quentin,Garin,Marie-Charlotte,PA795010
Adam,Mélanie,Garin,Marie-Charlotte,PA795010
Tomasella,David,Cazenave,Thomas,PA793940
Defortescu,Thomas,Cazenave,Thomas,PA793940
Martin,Alexandra,Cazenave,Thomas,PA793940
Leatham,Romain,Califer,Elie,PA795762
LEGRIX,Philippe,Califer,Elie,PA795762
MARTIAS,Nadia,Califer,Elie,PA795762
Le Vavasseur,Audrey,Di Filippo,Fabien,PA720386
Guehrar,Stéphane,Di Filippo,Fabien,PA720386
Cumet,Justine,Di Filippo,Fabien,PA720386
SIEBERT,Cédric,Di Filippo,Fabien,PA720386
Louviers,Angèle,Rossi,Valérie,PA840673
Bonnardel,Vincent,Rossi,Valérie,PA840673
Ziga,Aurore,Rossi,Valérie,PA840673
TAVEAU,Aline,Dupont,Stella,PA643175
Menelon,Raphaël,Dupont,Stella,PA643175
Excoffon,Mathis,Dupont,Stella,PA643175
Ghazaryan,Liana,Gillet,Yoann,PA793832
THOMAS,Titouan,Gillet,Yoann,PA793832
Chaudon,Timothé,Gillet,Yoann,PA793832
Chicoyneau de Lavalette,Clément,Taupiac,David,PA793796
Lacabanne,Valérie,Taupiac,David,PA793796
Barthet,Franck,Taupiac,David,PA793796
Baudry,Xavier,Blanc,Sophie,PA794886
Dies,Huguette,Blanc,Sophie,PA794886
Hoffmann,Océane,Blanc,Sophie,PA794886
Nahon,Yaël,Blanc,Sophie,PA794886
Wallon,Théo,Dufosset,Alexandre,PA840135
Grimpret,Mathieu,Dufosset,Alexandre,PA840135
