nom_collab,prenom_collab,nom_parlementaire,prenom_parlementaire,id_parlementaire
Abbaci,Assiba,Laouedj,Ahmed,AHMEDLAOUEDJ
Abderrahim,Yasmine,Cazebonne,Samantha,SAMANTHACAZEBONNE
Abi saad,Elie,Khalifé,Khalifé,KHALIFEKHALIFE
Achin-charbonnel,Laurence,Bouchet,Gilbert,GILBERTBOUCHET
Adriencense,Tanneguy,Hochart,Joshua,JOSHUAHOCHART
Ahamada,Mounayat,Ramia,Salama,SALAMARAMIA
Aidaoui,Romain,Tabarot,Philippe,PHILIPPETABAROT
Aironi,Louis-Victor,Capo-canellas,Vincent,VINCENTCAPOCANELLAS
Ait kassi,Yassin,Fagnen,Sébastien,SEBASTIENFAGNEN
Alain,Ludovic,Blatrix contat,Florence,FLORENCEBLATRIXCONTAT
Alard,Thomas,Lassarade,Florence,FLORENCELASSARADE
Alcaide-roeygens,Stéphanie,Rambaud,Didier,DIDIERRAMBAUD
Alcide,Kerwin,Phinera-horth,Marie-Laure,MARIELAUREPHINERAHORTH
Alicot,Karine,Vayssouze-faure,Jean-Marc,JEANMARCVAYSSOUZEFAURE
Allarousse,Virginie,Michallet,Damien,DAMIENMICHALLET
Allegrini,Marie,Carlotti,Marie-Arlette,MARIEARLETTECARLOTTI
Alliey,Sylvie,Michau,Jean-Jacques,JEANJACQUESMICHAU
Aloy,Dorian,Cazabonne,Alain,ALAINCAZABONNE
Alphonse,Valéry,Patient,Georges,GEORGESPATIENT
Amar,Fabienne,Arnaud,Jean-Michel,JEANMICHELARNAUD
Amoussou,Syndie,Ruelle,Jean-Luc,JEANLUCRUELLE
Amoussou,Syndie,Briante guillemont,Sophie,SOPHIEBRIANTEGUILLEMONT
Angibaud,Justine,Gillé,Hervé,HERVEGILLE
Archambault,Mathilde,Cazebonne,Samantha,SAMANTHACAZEBONNE
Arif,Sara,Poumirol,Emilienne,EMILIENNEPOUMIROL
Arnold,Delphine,Laurent,Daniel,DANIELLAURENT
Arnoux daumas,Stéphanie,Hervé,Loïc,LOICHERVE
Arruga,Béatrice,Brault,Jean-Luc,JEANLUCBRAULT
Artal,Valentin,Pantel,Guylène,GUYLENEPANTEL
Artaz,Max,Dossus,Thomas,THOMASDOSSUS
Artiga,Lydie,Vermeillet,Sylvie,SYLVIEVERMEILLET
Artiguebere,Romain,Estrosi sassone,Dominique,DOMINIQUEESTROSISASSONE
Aubert,Nicolas,Courtial,Édouard,EDOUARDCOURTIAL
Auger,Maryse,Raynal,Claude,CLAUDERAYNAL
Authier,Marc-Antoine,Paoli-gagin,Vanina,VANINAPAOLIGAGIN
Bachelier,Juliette,Vermeillet,Sylvie,SYLVIEVERMEILLET
Bach-toussaint,Anne-Sophie,Bruyen,Christian,CHRISTIANBRUYEN
Badouard,Benjamin,Dossus,Thomas,THOMASDOSSUS
Balana,Camille,Margaté,Marianne,MARIANNEMARGATE
Ballarin,Thierry,Carrère,Maryse,MARYSECARRERE
Balsamello,Jessica,Antoine,Jocelyne,JOCELYNEANTOINE
Balthasar,Christine,Reichardt,André,ANDREREICHARDT
Barbolosi,Anne,Parigi,Paul Toussaint,PAULTOUSSAINTPARIGI
Barillon,Brigitte,De la provôté,Sonia,SONIADELAPROVOTE
Barlet,Marie-Claude,Cigolotti,Olivier,OLIVIERCIGOLOTTI
Barreto,Valérie,Michau,Jean-Jacques,JEANJACQUESMICHAU
Bassaisteguy,Virginie,Saury,Hugues,HUGUESSAURY
Bastide,Stéphanie,Canalès,Marion,MARIONCANALES
Batal,Antoine,Devésa,Brigitte,BRIGITTEDEVESA
Batigne,Thomas,De cidrac,Marta,MARTADECIDRAC
Battistig-force,Corinne,Duffourg,Alain,ALAINDUFFOURG
Baudet,Nadine,Fialaire,Bernard,BERNARDFIALAIRE
Baudino,Antoine,Ravier,Stéphane,STEPHANERAVIER
Bauhain,Matthieu,Savoldelli,Pascal,PASCALSAVOLDELLI
Bayol,Philippe,Jeansannetas,Éric,ERICJEANSANNETAS
Bayoumi,Najib,Cardon,Rémi,REMICARDON
